MARKET,BBG,ID_BB_GLOBAL,QT_SPEC,CALENDAR_CODE
SGDUSD,SGDUSD BGN Curncy,BBG0013HNSV5,4,FD
THBUSD,THBUSD BGN Curncy,BBG0013HNT07,6,FD
TRYAUD,TRYAUD BGN Curncy,BBG0013HRNB4,5,AU
TRYCAD,TRYCAD BGN Curncy,BBG0013HK2X3,4,CA
TRYEUR,TRYEUR BGN Curncy,BBG0013HV2M3,5,TE
TRYGBP,TRYGBP BGN Curncy,BBG0013HRN24,5,GB
TRYJPY,TRYJPY BGN Curncy,BBG0013HTJ12,4,JN
TRYUSD,TRYUSD BGN Curncy,BBG0013HV5C7,5,FD
TWDAUD,TWDAUD BGN Curncy,BBG0013HHLH3,4,AU
TWDCAD,TWDCAD BGN Curncy,BBG0013HT040,4,CA
TWDEUR,TWDEUR BGN Curncy,BBG0013HN288,4,TE
TWDGBP,TWDGBP BGN Curncy,BBG0013HMWX5,6,GB
TWDJPY,TWDJPY BGN Curncy,BBG0013HMW01,4,JN
TWDUSD,TWDUSD BGN Curncy,BBG0013HNT34,6,FD
TZSUSD,TZSUSD BGN Curncy,BBG0013HRFX7,4,FD
UGXUSD,UGXUSD BGN Curncy,BBG0013HS7Y3,4,FD
USDAED,AED BGN Curncy,BBG0013HFP22,4,UA
USDAOA,AOA BGN Curncy,BBG0013HGGJ3,4,AO
USDARS,ARS BGN Curncy,BBG0013HGSP0,4,AR
USDAUD,USDAUD BGN Curncy,BBG0013HKTB8,4,AU
USDBGN,BGN BGN Curncy,BBG0013HFX61,4,BP
USDDKK,DKK BGN Curncy,BBG0013HGCG5,4,DE
USDEGP,EGP BGN Curncy,BBG0013HFQ75,4,EG
USDEUR,USDEUR BGN Curncy,BBG0013HQHV6,4,TE
USDGBP,USDGBP BGN Curncy,BBG0013HJDF1,4,GB
USDGHS,GHS BGN Curncy,BBG0013HGVF4,4,GH
USDKES,KES BGN Curncy,BBG0013HG3Y5,2,KN
USDNGN,NGN BGN Curncy,BBG0013HFL21,2,NG
USDNPR,NPR BGN Curncy,BBG0013HGH29,4,NP
USDNZD,USDNZD BGN Curncy,BBG0013HP7R4,4,NZ
USDQAR,QAR BGN Curncy,BBG0013HFPQ6,4,QA
USDRON,RON BGN Curncy,BBG0013HFVX5,4,RO
USDSAR,SAR BGN Curncy,BBG0013HFMD7,4,S+
USDTZS,TZS BGN Curncy,BBG0013HG0X2,2,TZ
USDUGX,UGX BGN Curncy,BBG0013HFTY9,2,UG
USDVND,VND BGN Curncy,BBG0013HFQG5,0,VN
USDZMW,ZMW BGN Curncy,BBG003Q8P6R7,4,ZM
VNDUSD,VNDUSD BGN Curncy,BBG0013HS924,4,FD
ZARAUD,ZARAUD BGN Curncy,BBG0013HPNJ8,4,AU
ZARCAD,ZARCAD BGN Curncy,BBG0013HX2T4,4,CA
ZAREUR,ZAREUR BGN Curncy,BBG0013HQ1K3,4,TE
ZARGBP,ZARGBP BGN Curncy,BBG0013HPDQ2,4,GB
ZARUSD,ZARUSD BGN Curncy,BBG0013HSGN5,6,FD
ZMWUSD,ZMWUSD BGN Curncy,BBG003S1W9X9,4,FD
